epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6285,2.15052,1.6278,1.93095,0.55465,0.55215,0.53611,0.18062,2.31163,1.92785,2.27381,0.0680641,0.00133066,0.00133066
2,145.495,2.12342,1.53068,1.91515,0.55936,0.63525,0.5801,0.2038,2.28726,1.58051,2.17176,0.0360378,0.00263762,0.00263762
3,216.555,2.10791,1.49777,1.90947,0.67573,0.68973,0.67254,0.24271,2.2529,1.46435,2.13567,0.00398498,0.00391818,0.00391818
4,285.684,2.08439,1.45888,1.89335,0.70265,0.68354,0.68103,0.24828,2.22806,1.28378,2.1224,0.0038812,0.0038812,0.0038812
5,354.975,2.0635,1.4044,1.88217,0.69188,0.67593,0.70152,0.26058,2.18799,1.32023,2.08273,0.0038416,0.0038416,0.0038416
6,423.497,2.05273,1.38652,1.88373,0.65985,0.68465,0.68467,0.25159,2.19096,1.40276,2.0861,0.003802,0.003802,0.003802
7,491.049,2.03914,1.35093,1.87029,0.69779,0.70269,0.71499,0.26725,2.18045,1.27083,2.09834,0.0037624,0.0037624,0.0037624
8,558.658,2.0366,1.31969,1.87841,0.70546,0.72368,0.71598,0.26142,2.21334,1.23676,2.11915,0.0037228,0.0037228,0.0037228
9,626.136,2.04902,1.3384,1.87446,0.71621,0.69992,0.7307,0.27957,2.17776,1.23824,2.07963,0.0036832,0.0036832,0.0036832
10,693.88,2.01435,1.29449,1.86362,0.693,0.73104,0.68578,0.25144,2.20458,1.25634,2.12517,0.0036436,0.0036436,0.0036436
11,761.414,2.02852,1.2777,1.87107,0.66636,0.71761,0.70869,0.25588,2.23935,1.21325,2.13879,0.003604,0.003604,0.003604
12,829.016,2.01476,1.28152,1.85985,0.72094,0.74066,0.71854,0.26094,2.18482,1.19253,2.09843,0.0035644,0.0035644,0.0035644
13,896.631,2.00087,1.25595,1.8544,0.6971,0.74554,0.73415,0.27516,2.18227,1.19838,2.10901,0.0035248,0.0035248,0.0035248
14,964.08,1.99956,1.24142,1.86714,0.6927,0.73812,0.7054,0.26425,2.18797,1.19376,2.12429,0.0034852,0.0034852,0.0034852
15,1031.6,1.99717,1.23784,1.85707,0.6908,0.72827,0.68042,0.25402,2.17475,1.21969,2.10822,0.0034456,0.0034456,0.0034456
16,1099.1,1.98885,1.23529,1.85323,0.66747,0.75276,0.71791,0.26908,2.18746,1.20315,2.12253,0.003406,0.003406,0.003406
17,1166.67,1.99496,1.22941,1.85899,0.69484,0.71307,0.71787,0.27037,2.16714,1.18419,2.10905,0.0033664,0.0033664,0.0033664
18,1234.12,1.98458,1.21797,1.85702,0.67656,0.76398,0.718,0.27625,2.17587,1.1774,2.11479,0.0033268,0.0033268,0.0033268
19,1301.59,1.9807,1.20516,1.85893,0.71413,0.75149,0.74089,0.27638,2.19631,1.15248,2.14083,0.0032872,0.0032872,0.0032872
20,1369.09,1.98289,1.20781,1.86773,0.70616,0.75586,0.6787,0.25043,2.1917,1.1505,2.14861,0.0032476,0.0032476,0.0032476
21,1436.61,1.9682,1.18952,1.86069,0.70215,0.76146,0.70521,0.26027,2.19324,1.17649,2.15015,0.003208,0.003208,0.003208
22,1504.02,1.97812,1.20132,1.86127,0.71574,0.76761,0.73621,0.28516,2.14815,1.13222,2.10144,0.0031684,0.0031684,0.0031684
23,1571.54,1.97623,1.17752,1.85279,0.6854,0.74208,0.72516,0.27013,2.18204,1.18957,2.11793,0.0031288,0.0031288,0.0031288
24,1638.89,1.97755,1.18079,1.86619,0.71133,0.74576,0.7366,0.27291,2.20592,1.1158,2.1369,0.0030892,0.0030892,0.0030892
25,1706.24,1.97264,1.17632,1.85228,0.71315,0.75042,0.75047,0.28874,2.1523,1.13605,2.09354,0.0030496,0.0030496,0.0030496
